"color","hex","name","rgb"
"LightBlue3","#9AC0CD","LightBlue3","rgb(154, 192, 205)"
"LightBlue4","#68838B","LightBlue4","rgb(104, 131, 139)"
"LightCoral","#F08080","LightCoral","rgb(240, 128, 128)"
"LightCyan","#E0FFFF","LightCyan","rgb(224, 255, 255)"
"LightCyan1","#E0FFFF","LightCyan1","rgb(224, 255, 255)"
"LightCyan2","#D1EEEE","LightCyan2","rgb(209, 238, 238)"
"LightCyan3","#B4CDCD","LightCyan3","rgb(180, 205, 205)"
"LightCyan4","#7A8B8B","LightCyan4","rgb(122, 139, 139)"
"LightGoldenrod","#EEDD82","LightGoldenrod","rgb(238, 221, 130)"
"LightGoldenrod1","#FFEC8B","LightGoldenrod1","rgb(255, 236, 139)"
"LightGoldenrod2","#EEDC82","LightGoldenrod2","rgb(238, 220, 130)"
"LightGoldenrod3","#CDBE70","LightGoldenrod3","rgb(205, 190, 112)"
"LightGoldenrod4","#8B814C","LightGoldenrod4","rgb(139, 129, 76)"
"LightGoldenrodYellow","#FAFAD2","LightGoldenrodYellow","rgb(250, 250, 210)"
"LightGray","#D3D3D3","LightGray","rgb(211, 211, 211)"
"LightGreen","#90EE90","LightGreen","rgb(144, 238, 144)"
"LightGrey","#D3D3D3","LightGrey","rgb(211, 211, 211)"
"LightPink","#FFB6C1","LightPink","rgb(255, 182, 193)"
"LightPink1","#FFAEB9","LightPink1","rgb(255, 174, 185)"
"LightPink2","#EEA2AD","LightPink2","rgb(238, 162, 173)"
"LightPink3","#CD8C95","LightPink3","rgb(205, 140, 149)"
