"scientific_name","attribute_name","range"
"Lunaria annua","Edible","No"
"Lunaria annua","Habit","Unknown"
"Lunaria annua","Kind","Generic"
"Lunaria annua","Native","No"
"Lunaria annua","Sun tolerance","Unknown"
"Lycium barbarum","Edible","Fruit"
"Lycium barbarum","Habit","Shrub"
"Lycium barbarum","Kind","Generic"
"Lycium barbarum","Native","No"
"Lycium barbarum","Sun tolerance","Full sun, Part shade"
"Malus domestica 'Pine Golden Pippin'","Edible","Fruit"
"Malus domestica 'Pine Golden Pippin'","Habit","Semi-dwarf"
"Malus domestica 'Pine Golden Pippin'","Kind","Generic"
"Malus domestica 'Pine Golden Pippin'","Native","No"
"Malus domestica 'Pine Golden Pippin'","Sun tolerance","Unknown"
"Malus domestica 'Pitmaston Pine'","Edible","Fruit"
"Malus domestica 'Pitmaston Pine'","Habit","Semi-dwarf"
"Malus domestica 'Pitmaston Pine'","Kind","Generic"
"Malus domestica 'Pitmaston Pine'","Native","No"
"Malus domestica 'Pitmaston Pine'","Sun tolerance","Unknown"
"Malus domestica 3","Edible","Fruit"
"Malus domestica 3","Habit","Tree"
"Malus domestica 3","Kind","Generic"
"Malus domestica 3","Native","No"
"Malus domestica 3","Sun tolerance","Unknown"
"Malus domestica Harmony","Edible","Fruit"
"Malus domestica Harmony","Habit","Columnar"
"Malus domestica Harmony","Kind","Generic"
"Malus domestica Harmony","Native","Yes"
"Malus domestica Harmony","Sun tolerance","Full sun"
"Malus domestica Leprechaun","Edible","Fruit"
"Malus domestica Leprechaun","Habit","Dwarf"
"Malus domestica Leprechaun","Kind","Generic"
"Malus domestica Leprechaun","Native","Yes"
"Malus domestica Leprechaun","Sun tolerance","Full sun"
"Malus domestica Pinkabelle®","Edible","Fruit"
"Malus domestica Pinkabelle®","Habit","Dwarf"
"Malus domestica Pinkabelle®","Kind","Generic"
"Malus domestica Pinkabelle®","Native","Yes"
"Malus domestica Pinkabelle®","Sun tolerance","Full sun"
"Malus domestica Pom-for-You","Edible","Fruit"
"Malus domestica Pom-for-You","Habit","Columnar"
"Malus domestica Pom-for-You","Kind","Generic"
"Malus domestica Pom-for-You","Native","Yes"
"Malus domestica Pom-for-You","Sun tolerance","Full sun"
"Malus domestica Pompink","Edible","Fruit"
"Malus domestica Pompink","Habit","Columnar"
